cluster_path,singles_paths,cluster_E,c_HF,c_MP2,c_CCSDT,singles_E,s_HF,s_MP2,s_CCSDT,int_HF,int_MP2,int_CCSDT
[PosixPath('/home/boittier/pcnccr/dimer_molpro/11/11.out')],"[PosixPath('/home/boittier/pcnccr/dimer_molpro/11/11_1.out'), PosixPath('/home/boittier/pcnccr/dimer_molpro/11/11_0.out')]","(-152.74192209, -152.12897046, -152.12574381)",-152.12574381,-152.12897046,-152.74192209,"[(-76.36677462, -76.06060412, -76.05898346), (-76.37247854, -76.06576243, -76.06414738)]",-152.12313084,-152.12636655,-152.73925316,-1.6396465139107965,-1.6339613367330226,-1.6747615817891728
[PosixPath('/home/boittier/pcnccr/dimer_molpro/12/12.out')],"[PosixPath('/home/boittier/pcnccr/dimer_molpro/12/12_1.out'), PosixPath('/home/boittier/pcnccr/dimer_molpro/12/12_0.out')]","(-152.74137247, -152.12847676, -152.12524911)",-152.12524911,-152.12847676,-152.74137247,"[(-76.36677462, -76.06060412, -76.05898346), (-76.37247854, -76.06576243, -76.06414738)]",-152.12313084,-152.12636655,-152.73925316,-1.3292207798169529,-1.3241631056375947,-1.3298733829196105
[PosixPath('/home/boittier/pcnccr/dimer_molpro/13/13.out')],"[PosixPath('/home/boittier/pcnccr/dimer_molpro/13/13_1.out'), PosixPath('/home/boittier/pcnccr/dimer_molpro/13/13_0.out')]","(-152.74096026, -152.12809456, -152.12486604)",-152.12486604,-152.12809456,-152.74096026,"[(-76.36677462, -76.06060412, -76.05898346), (-76.37247854, -76.06576243, -76.06414738)]",-152.12313084,-152.12636655,-152.73925316,-1.0888432056081812,-1.0843314590260305,-1.0712103713027625
[PosixPath('/home/boittier/pcnccr/dimer_molpro/14/14.out')],"[PosixPath('/home/boittier/pcnccr/dimer_molpro/14/14_1.out'), PosixPath('/home/boittier/pcnccr/dimer_molpro/14/14_0.out')]","(-152.74064902, -152.12779697, -152.12456768)",-152.12456768,-152.12779697,-152.74064902,"[(-76.36677462, -76.06060412, -76.05898346), (-76.37247854, -76.06576243, -76.06414738)]",-152.12313084,-152.12636655,-152.73925316,-0.9016214105357415,-0.8975928412545235,-0.8759063375814797
[PosixPath('/home/boittier/pcnccr/dimer_molpro/15/15.out')],"[PosixPath('/home/boittier/pcnccr/dimer_molpro/15/15_1.out'), PosixPath('/home/boittier/pcnccr/dimer_molpro/15/15_0.out')]","(-152.7404065, -152.12756341, -152.12433324)",-152.12433324,-152.12756341,-152.7404065,"[(-76.36677462, -76.06060412, -76.05898346), (-76.37247854, -76.06576243, -76.06414738)]",-152.12313084,-152.12636655,-152.73925316,-0.7545096072069271,-0.7510332405757292,-0.7237243100211861
[PosixPath('/home/boittier/pcnccr/dimer_molpro/16/16.out')],"[PosixPath('/home/boittier/pcnccr/dimer_molpro/16/16_1.out'), PosixPath('/home/boittier/pcnccr/dimer_molpro/16/16_0.out')]","(-152.74021788, -152.1273775, -152.12414681)",-152.12414681,-152.1273775,-152.74021788,"[(-76.36677462, -76.06060412, -76.05898346), (-76.37247854, -76.06576243, -76.06414738)]",-152.12313084,-152.12636655,-152.73925316,-0.6375242229262181,-0.6343741578463491,-0.6053646941504048
[PosixPath('/home/boittier/pcnccr/dimer_molpro/17/17.out')],"[PosixPath('/home/boittier/pcnccr/dimer_molpro/17/17_1.out'), PosixPath('/home/boittier/pcnccr/dimer_molpro/17/17_0.out')]","(-152.74006746, -152.12722804, -152.12399674)",-152.12399674,-152.12722804,-152.74006746,"[(-76.36677462, -76.06060412, -76.05898346), (-76.37247854, -76.06576243, -76.06414738)]",-152.12313084,-152.12636655,-152.73925316,-0.5433548477050004,-0.5405875594734264,-0.5109756929011433
[PosixPath('/home/boittier/pcnccr/dimer_molpro/18/18.out')],"[PosixPath('/home/boittier/pcnccr/dimer_molpro/18/18_1.out'), PosixPath('/home/boittier/pcnccr/dimer_molpro/18/18_0.out')]","(-152.73994821, -152.12710657, -152.12387463)",-152.12387463,-152.12710657,-152.73994821,"[(-76.36677462, -76.06060412, -76.05898346), (-76.37247854, -76.06576243, -76.06414738)]",-152.12313084,-152.12636655,-152.73925316,-0.4667304563708498,-0.46436477005683513,-0.4361459601438884
[PosixPath('/home/boittier/pcnccr/dimer_molpro/19/19.out')],"[PosixPath('/home/boittier/pcnccr/dimer_molpro/19/19_1.out'), PosixPath('/home/boittier/pcnccr/dimer_molpro/19/19_0.out')]","(-152.73985086, -152.12700685, -152.12377436)",-152.12377436,-152.12700685,-152.73985086,"[(-76.36677462, -76.06060412, -76.05898346), (-76.37247854, -76.06576243, -76.06414738)]",-152.12313084,-152.12636655,-152.73925316,-0.40381073056704175,-0.4017901708914549,-0.37505854309117387
[PosixPath('/home/boittier/pcnccr/dimer_molpro/20/20.out')],"[PosixPath('/home/boittier/pcnccr/dimer_molpro/20/20_1.out'), PosixPath('/home/boittier/pcnccr/dimer_molpro/20/20_0.out')]","(-152.73976978, -152.12692425, -152.12369133)",-152.12369133,-152.12692425,-152.73976978,"[(-76.36677462, -76.06060412, -76.05898346), (-76.37247854, -76.06576243, -76.06414738)]",-152.12313084,-152.12636655,-152.73925316,-0.3517091564865962,-0.34995842310104147,-0.324180599850505
[PosixPath('/home/boittier/pcnccr/dimer_molpro/21/21.out')],"[PosixPath('/home/boittier/pcnccr/dimer_molpro/21/21_0.out'), PosixPath('/home/boittier/pcnccr/dimer_molpro/21/21_1.out')]","(-152.73970464, -152.12685526, -152.12362199)",-152.12362199,-152.12685526,-152.73970464,"[(-76.37247854, -76.06576243, -76.06414738), (-76.36677462, -76.06060412, -76.05898346)]",-152.12313084,-152.12636655,-152.73925316,-0.3081980984601687,-0.3066669911383273,-0.2833050544459591
[PosixPath('/home/boittier/pcnccr/dimer_molpro/22/22.out')],"[PosixPath('/home/boittier/pcnccr/dimer_molpro/22/22_1.out'), PosixPath('/home/boittier/pcnccr/dimer_molpro/22/22_0.out')]","(-152.7396489, -152.12679718, -152.12356355)",-152.12356355,-152.12679718,-152.7396489,"[(-76.36677462, -76.06060412, -76.05898346), (-76.37247854, -76.06576243, -76.06414738)]",-152.12313084,-152.12636655,-152.73925316,-0.27152682313787413,-0.2702216168968891,-0.24832803721225305
[PosixPath('/home/boittier/pcnccr/dimer_molpro/23/23.out')],"[PosixPath('/home/boittier/pcnccr/dimer_molpro/23/23_0.out'), PosixPath('/home/boittier/pcnccr/dimer_molpro/23/23_1.out')]","(-152.73949931, -152.12663868, -152.12340369)",-152.12340369,-152.12663868,-152.73949931,"[(-76.37247854, -76.06576243, -76.06414738), (-76.36677462, -76.06060412, -76.05898346)]",-152.12313084,-152.12636655,-152.73925316,-0.17121419356002648,-0.17076239139831362,-0.15445986345595686
[PosixPath('/home/boittier/pcnccr/dimer_molpro/24/24.out')],"[PosixPath('/home/boittier/pcnccr/dimer_molpro/24/24_0.out'), PosixPath('/home/boittier/pcnccr/dimer_molpro/24/24_1.out')]","(-152.73941744, -152.12654929, -152.12331372)",-152.12331372,-152.12654929,-152.73941744,"[(-76.37247854, -76.06576243, -76.06414738), (-76.36677462, -76.06060412, -76.05898346)]",-152.12313084,-152.12636655,-152.73925316,-0.11475774864703409,-0.11466989822868266,-0.10308619284439946
