,ETOT,ELST,key,ele,vdw,chm,SE,MSE
0,240.694451929946,-62.37312093601211,1.xyz,-66.82583,10972.7256,10905.89977,113746604.47658974,4751095.814444915
1,82.674903266612,-61.08000749457601,2.xyz,-33.14503,641.88412,608.73909,276743.528563461,4751095.814444915
2,24.671677517679203,-36.211837954497206,3.xyz,-19.92898,98.68828,78.75930000000001,2925.4709057900554,4751095.814444915
3,3.502115703602601,-20.2478493890044,4.xyz,-13.05119,21.50824,8.45705,24.551373881615195,4751095.814444915
4,-3.2501472579283406,-11.790530306049702,5.xyz,-8.99909,5.0484,-3.9506900000000007,0.4907601334692805,4751095.814444915
5,-4.68040072073581,-7.3684479534712,6.xyz,-6.44023,0.95771,-5.48252,0.6433953381673033,4751095.814444915
6,-4.37227373092577,-4.952358318400281,7.xyz,-4.74732,-0.07683,-4.82415,0.20419216255244588,4751095.814444915
7,-3.6208346339554303,-3.53186360027294,8.xyz,-3.5869,-0.29122,-3.87812,0.06619575958068824,4751095.814444915
8,-2.87637378449707,-2.6353491982188,9.xyz,-2.76805,-0.28684,-3.0548900000000003,0.031868039197488644,4751095.814444915
9,-2.2640404059708104,-2.03374959735916,10.xyz,-2.17575,-0.23389,-2.40964,0.021199241781464838,4751095.814444915
10,-1.7907577954509202,-1.6088998081645003,11.xyz,-1.73799,-0.17968,-1.91767,0.016106707663507473,4751095.814444915
11,-1.43181951576954,-1.2972809084851502,12.xyz,-1.40823,-0.13534,-1.54357,0.012488170725742332,4751095.814444915
12,-1.15985988499535,-1.06243559524908,13.xyz,-1.1556,-0.10156,-1.25716,0.00946731237991811,4751095.814444915
13,-0.95210784208824,-0.8816587705315401,14.xyz,-0.9591,-0.07648,-1.03558,0.006967601146445796,4751095.814444915
14,-0.7913371433170601,-0.73997040034018,15.xyz,-0.80416,-0.05799,-0.86215,0.005014460671598587,4751095.814444915
15,-0.6650816885832099,-0.6271619659245661,16.xyz,-0.68047,-0.04434,-0.7248100000000001,0.003567471184701063,4751095.814444915
16,-0.5644917823700911,-0.536122710591711,17.xyz,-0.58063,-0.03421,-0.6148399999999999,0.002534943018508661,4751095.814444915
17,-0.483298488359336,-0.4617992121219431,18.xyz,-0.49921,-0.02663,-0.52584,0.0018097802126727505,4751095.814444915
18,-0.417012598633699,-0.400521935254251,19.xyz,-0.43218,-0.02092,-0.4531,0.0013023005373725039,4751095.814444915
19,-0.362357554823434,-0.349565375300896,20.xyz,-0.37654,-0.01657,-0.39310999999999996,0.0009457128843376941,4751095.814444915
20,-0.316891194317919,-0.306862709943203,21.xyz,-0.32997,-0.01323,-0.3432,0.0006921532564174972,4751095.814444915
21,-0.278760459342956,-0.270820691494088,22.xyz,-0.29073,-0.01065,-0.30138,0.0005116436195356651,4751095.814444915
22,-0.175412881383312,-0.172017195334034,23.xyz,-0.18349,-0.00478,-0.18827,0.00016530549912358462,4751095.814444915
23,-0.117539200240213,-0.115920455851233,24.xyz,-0.12298,-0.00236,-0.12534,6.085247689229304e-05,4751095.814444915
