,ETOT,ELST,key,ele,vdw,chm,SE,MSE
0,-55.366950571074014,-173.0150231824205,test0,-117.64405,55.16075,-117.85427318242048,3904.6654871344917,2076.827075679353
1,-43.33421841275754,-105.63811056030164,test1,-71.54407,28.23082,-77.40729056030165,1160.9742455717462,2076.827075679353
2,-43.16430460740907,-106.35857532377784,test10,-70.62562,28.3902,-77.96837532377785,1211.3233384299986,2076.827075679353
3,-28.50715377168432,-118.91998131840046,test100,-76.21351,51.56462,-67.35536131840047,1509.1832295927338,2076.827075679353
4,-26.191823068613427,-111.00923676902416,test102,-70.79145,39.65876,-71.35047676902416,2039.304004033619,2076.827075679353
5,-41.87987286615487,-110.0834432387063,test103,-75.49327,31.43456,-78.64888323870629,1351.960123776794,2076.827075679353
6,-17.9908246472631,-110.40816984788854,test104,-65.80594,46.40834,-63.99982984788854,2116.828559551179,2076.827075679353
7,-21.38461401362944,-128.67963283981646,test105,-79.47141,60.34657,-68.33306283981646,2204.156847185101,2076.827075679353
8,-43.18342599811962,-102.5473001018165,test106,-69.91311,26.75151,-75.79579010181651,1063.5662924320975,2076.827075679353
9,-46.32688364413544,-123.97297274820365,test107,-85.02883,36.63413,-87.33884274820365,1681.9807895537629,2076.827075679353
10,-50.52179245677132,-106.06888368478558,test108,-77.04129,25.76849,-80.30039368478558,886.765091097092,2076.827075679353
11,-57.129505533613845,-112.66331886287682,test109,-81.47619,22.52439,-90.13892886287682,1089.622028530491,2076.827075679353
12,-33.1844534690702,-141.69532831965125,test11,-91.30832,56.39642,-85.29890831965125,2715.9164043732503,2076.827075679353
13,-40.495864084995766,-117.37382783096528,test110,-80.14775,37.57214,-79.80168783096528,1544.9477803492207,2076.827075679353
14,-40.974923068447126,-107.7801342446304,test111,-75.71728,32.03791,-75.7422242446304,1208.7652310754354,2076.827075679353
15,-30.50255445410924,-130.383103943717,test112,-83.00032,53.80507,-76.578033943717,2122.9498101972654,2076.827075679353
16,-29.64518157311693,-135.4803413232055,test113,-83.7066,56.61215,-78.8681913232055,2422.904688857314,2076.827075679353
17,-28.421858508958454,-88.00068747468627,test114,-54.83062,30.82456,-57.17612747468627,826.8079837534177,2076.827075679353
18,-31.11053148258571,-83.97870936245816,test115,-55.38961,20.25894,-63.719769362458166,1063.3623951061084,2076.827075679353
19,-22.178154923125344,-89.69240118032675,test116,-55.78984,34.40808,-55.28432118032676,1096.018244249461,2076.827075679353
20,-21.588853724857582,-84.4225859719202,test117,-54.48139,27.412,-57.0105859719202,1254.699115382596,2076.827075679353
21,-27.37087394416976,-132.79705717434328,test118,-84.27255,59.07908,-73.71797717434328,2148.0539778283605,2076.827075679353
22,-49.71947556412146,-150.57381657179943,test119,-100.26033,48.10029,-102.47352657179943,2782.9898977206885,2076.827075679353
23,-49.4104721245732,-137.90534868704012,test12,-94.13952,42.2007,-95.70464868704012,2143.150783596862,2076.827075679353
24,-43.37252783348365,-141.44463179497052,test120,-93.17622,46.97546,-94.46917179497052,2610.8670241269524,2076.827075679353
25,-42.954364551437024,-148.10240964790728,test121,-96.00733,53.65097,-94.45143964790728,2651.9487434914968,2076.827075679353
26,-23.430614159496372,-119.6093539129908,test122,-75.15134,53.13877,-66.4705839129908,1852.4389963817157,2076.827075679353
27,-26.684342889917463,-95.87456275850096,test123,-62.78714,35.20548,-60.669082758500956,1154.962543935288,2076.827075679353
28,-22.36285113012196,-86.1954390202998,test124,-50.31578,32.58944,-53.6059990202998,976.1342900875238,2076.827075679353
29,-42.99690102274443,-120.44881501133824,test125,-81.99701,42.6772,-77.77161501133824,1209.280732988502,2076.827075679353
30,-41.04900332200539,-159.5107104511246,test126,-104.06131,69.08084,-90.4298704511246,2438.4700384237262,2076.827075679353
31,-36.63072708844041,-120.86340075012632,test127,-79.50801,38.05561,-82.80779075012632,2132.321208415393,2076.827075679353
32,-54.63048548359788,-145.44621158597758,test128,-99.68959,44.70061,-100.74560158597758,2126.60393313596,2076.827075679353
33,-21.20527476764331,-91.30635121061069,test129,-55.00847,34.32337,-56.98298121061069,1280.0442783191495,2076.827075679353
34,-48.09856336434108,-157.7436818328656,test13,-105.81981,59.16981,-98.5738718328656,2547.7567649927037,2076.827075679353
35,-51.85925715050647,-156.77528834837213,test130,-106.12038,53.78844,-102.98684834837212,2614.030581696069,2076.827075679353
36,-42.850276589727606,-101.6033244003724,test131,-70.60962,26.5824,-75.0209244003724,1034.9505805565443,2076.827075679353
37,-51.303789486576775,-150.23761784415544,test132,-104.25246,50.84479,-99.39282784415543,2312.5556101566717,2076.827075679353
38,-36.83106510236048,-90.93040520165924,test133,-62.01935,24.59685,-66.33355520165924,870.396922059221,2076.827075679353
39,-68.91610414681969,-168.38773390496834,test134,-119.5534,47.3439,-121.04383390496835,2717.3002097385775,2076.827075679353
40,-43.80017274493714,-107.67582313872344,test135,-73.0738,27.88585,-79.78997313872344,1295.2657323845804,2076.827075679353
41,-54.44493530374185,-176.4872001958794,test136,-120.49021,64.13138,-112.35582019587942,3353.670588990407,2076.827075679353
42,-50.45525641061224,-133.87397588785322,test137,-91.08889,39.08887,-94.78510588785322,1965.135554674842,2076.827075679353
43,-45.19801099834408,-150.9155777814763,test138,-101.08009,51.866,-99.04957778147629,2899.991244998148,2076.827075679353
44,-52.99407958898914,-167.51572349274684,test139,-112.07549,53.52202,-113.99370349274685,3720.954116399889,2076.827075679353
45,-51.89070967087334,-151.73110626061174,test14,-101.38896,58.95839,-92.77271626061173,1671.338462803413,2076.827075679353
46,-40.25312989981951,-162.38616686433747,test140,-103.45483,69.22594,-93.16022686433747,2799.1609092129056,2076.827075679353
47,-58.15352712247324,-156.2753130910405,test141,-105.45959,43.89464,-112.38067309104048,2940.5833598962977,2076.827075679353
48,-45.40072709235454,-134.73457950885012,test142,-90.34276,44.69465,-90.03992950885012,1992.6583923808646,2076.827075679353
49,-48.31969219126544,-134.7828567537543,test143,-91.99629,43.63067,-91.15218675375428,1834.622590445636,2076.827075679353
50,-50.12297020931575,-143.44370738303908,test144,-95.11554,46.34346,-97.10024738303909,2206.8645706568277,2076.827075679353
51,-40.91866836848124,-142.3724519237108,test145,-95.87091,47.08965,-95.28280192371079,2955.4590172108356,2076.827075679353
52,-40.0722767229967,-155.15181182962692,test146,-97.4404,62.59299,-92.55882182962692,2754.8374172303293,2076.827075679353
53,-55.54267306986085,-128.07285325736143,test148,-90.40728,32.53012,-95.54273325736143,1600.0048150036696,2076.827075679353
54,-40.9005178658614,-160.67539473830612,test149,-104.56682,62.35026,-98.32513473830613,3297.586622947064,2076.827075679353
55,-48.35191341125729,-146.57038381919944,test15,-97.55204,45.38755,-101.18283381919943,2791.106151150317,2076.827075679353
56,-47.24594644858318,-164.5315849883094,test150,-108.21226,60.69296,-103.83862498830939,3202.731264300787,2076.827075679353
57,-45.29350138294888,-187.84353704420693,test151,-125.23669,72.98365,-114.85988704420693,4839.482013970888,2076.827075679353
58,-46.28350085091007,-136.75046679007744,test152,-92.89075,42.91702,-93.83344679007743,2260.997358817738,2076.827075679353
59,-54.75904974181982,-145.65532272569655,test153,-102.59363,43.507,-102.14832272569654,2245.743193940388,2076.827075679353
