,ETOT,ELST,key,ele,vdw,chm,intern,SE,MSE
0,-55.366950571074014,-173.0150231824205,test0,-123.71494,6.27183,-117.44311,22.66582,3853.449569445437,2167.9858845838635
1,-43.33421841275754,-105.63811056030164,test1,-76.37093,2.53254,-73.83839,20.99546,930.5044842239306,2167.9858845838635
2,-43.16430460740907,-106.35857532377784,test10,-69.80262,2.35711,-67.44551,18.11973,589.5769353171867,2167.9858845838635
3,-28.50715377168432,-118.91998131840046,test100,-82.66853,5.67265,-76.99588,19.81007,2351.1565712445495,2167.9858845838635
4,-26.191823068613427,-111.00923676902416,test102,-73.959,4.21397,-69.74503,20.35586,1896.881834008179,2167.9858845838635
5,-41.87987286615487,-110.0834432387063,test103,-76.52698,3.20782,-73.31916,14.61359,988.4287754843598,2167.9858845838635
6,-17.9908246472631,-110.40816984788854,test104,-66.36383,5.03771,-61.326119999999996,18.38694,1877.9478233089396,2167.9858845838635
7,-21.38461401362944,-128.67963283981646,test105,-78.93947,6.42738,-72.51209,18.65147,2614.018800736898,2167.9858845838635
8,-43.18342599811962,-102.5473001018165,test106,-73.99906,2.32315,-71.67591,22.67404,811.8216445974097,2167.9858845838635
9,-46.32688364413544,-123.97297274820365,test107,-88.61144,3.72774,-84.8837,25.86527,1486.628087499865,2167.9858845838635
10,-50.52179245677132,-106.06888368478558,test108,-81.01678,2.80711,-78.20967,21.96159,766.6185628488271,2167.9858845838635
11,-57.129505533613845,-112.66331886287682,test109,-84.53704,2.22315,-82.31389,16.44712,634.2532209507523,2167.9858845838635
12,-33.1844534690702,-141.69532831965125,test11,-96.4465,6.04095,-90.40555,16.59296,3274.253888201987,2167.9858845838635
13,-40.495864084995766,-117.37382783096528,test110,-83.36994,4.08079,-79.28915,16.54728,1504.9190320832663,2167.9858845838635
14,-40.974923068447126,-107.7801342446304,test111,-74.41131,3.28871,-71.1226,9.84552,908.8824243692857,2167.9858845838635
15,-30.50255445410924,-130.383103943717,test112,-89.9665,5.67334,-84.29316,19.38872,2893.4292449936133,2167.9858845838635
16,-29.64518157311693,-135.4803413232055,test113,-94.45844,6.4085,-88.04993999999999,18.12888,3411.1158069025682,2167.9858845838635
17,-28.421858508958454,-88.00068747468627,test114,-62.03322,2.5947,-59.43852,21.67073,962.0332900498594,2167.9858845838635
18,-31.11053148258571,-83.97870936245816,test115,-57.4407,2.08826,-55.35244,14.90465,587.6701285666836,2167.9858845838635
19,-22.178154923125344,-89.69240118032675,test116,-56.48444,3.041,-53.44344,15.42391,977.5180509382412,2167.9858845838635
20,-21.588853724857582,-84.4225859719202,test117,-56.5213,2.84268,-53.678619999999995,17.09927,1029.753099593267,2167.9858845838635
21,-27.37087394416976,-132.79705717434328,test118,-87.75015,6.45494,-81.29521000000001,14.05681,2907.8340190621147,2167.9858845838635
22,-49.71947556412146,-150.57381657179943,test119,-102.62311,5.16145,-97.46166,15.67755,2279.3161747094427,2167.9858845838635
23,-49.4104721245732,-137.90534868704012,test12,-95.10773,4.54543,-90.56230000000001,19.2416,1693.4729374887552,2167.9858845838635
24,-43.37252783348365,-141.44463179497052,test120,-98.65617,5.30227,-93.35390000000001,17.1404,2498.137563647816,2167.9858845838635
25,-42.954364551437024,-148.10240964790728,test121,-101.02973,5.61702,-95.41271,16.02047,2751.8780072007685,2167.9858845838635
26,-23.430614159496372,-119.6093539129908,test122,-80.67812,5.94863,-74.72949000000001,18.30648,2631.574662499408,2167.9858845838635
27,-26.684342889917463,-95.87456275850096,test123,-63.84328,4.00608,-59.8372,13.67699,1099.1119345615502,2167.9858845838635
28,-22.36285113012196,-86.1954390202998,test124,-53.70526,3.45871,-50.24655,13.43646,777.5006626660378,2167.9858845838635
29,-42.99690102274443,-120.44881501133824,test125,-84.04383,4.17266,-79.87117,11.75146,1359.711712606993,2167.9858845838635
30,-41.04900332200539,-159.5107104511246,test126,-110.58137,7.49918,-103.08219000000001,15.76401,3848.1162494269292,2167.9858845838635
31,-36.63072708844041,-120.86340075012632,test127,-80.48799,3.72191,-76.76608,18.52616,1610.8465533354351,2167.9858845838635
32,-54.63048548359788,-145.44621158597758,test128,-104.69037,4.0753,-100.61507,12.20615,2114.58201314613,2167.9858845838635
33,-21.20527476764331,-91.30635121061069,test129,-57.39961,3.27823,-54.12138,13.41585,1083.4699836675795,2167.9858845838635
34,-48.09856336434108,-157.7436818328656,test13,-110.19478,5.74614,-104.44864,17.84011,3175.331136844633,2167.9858845838635
35,-51.85925715050647,-156.77528834837213,test130,-112.80205,6.62479,-106.17725999999999,13.3487,2950.445433557586,2167.9858845838635
36,-42.850276589727606,-101.6033244003724,test131,-74.28937,2.44347,-71.8459,18.32276,840.7461769503365,2167.9858845838635
37,-51.303789486576775,-150.23761784415544,test132,-104.72188,5.18519,-99.53669,13.82315,2326.412691937782,2167.9858845838635
38,-36.83106510236048,-90.93040520165924,test133,-60.85094,1.97288,-58.878060000000005,14.38106,486.0699840165431,2167.9858845838635
39,-68.91610414681969,-168.38773390496834,test134,-124.61806,4.45684,-120.16122,17.12412,2626.061898805872,2167.9858845838635
