,ETOT,ELST,key,ele,vdw,chm,SE,MSE
0,-55.366950571074014,-173.0150231824205,test0,-98.13891,55.16075,-117.85427318242048,3904.6654871344917,2076.827075679353
1,-43.33421841275754,-105.63811056030164,test1,-62.90057,28.23082,-77.40729056030165,1160.9742455717462,2076.827075679353
2,-43.16430460740907,-106.35857532377784,test10,-59.4808,28.3902,-77.96837532377785,1211.3233384299986,2076.827075679353
3,-28.50715377168432,-118.91998131840046,test100,-74.91926,51.56462,-67.35536131840047,1509.1832295927338,2076.827075679353
4,-26.191823068613427,-111.00923676902416,test102,-60.40278,39.65876,-71.35047676902416,2039.304004033619,2076.827075679353
5,-41.87987286615487,-110.0834432387063,test103,-59.78252,31.43456,-78.64888323870629,1351.960123776794,2076.827075679353
6,-17.9908246472631,-110.40816984788854,test104,-57.059,46.40834,-63.99982984788854,2116.828559551179,2076.827075679353
7,-21.38461401362944,-128.67963283981646,test105,-61.20656,60.34657,-68.33306283981646,2204.156847185101,2076.827075679353
8,-43.18342599811962,-102.5473001018165,test106,-63.02027,26.75151,-75.79579010181651,1063.5662924320975,2076.827075679353
9,-46.32688364413544,-123.97297274820365,test107,-75.99737,36.63413,-87.33884274820365,1681.9807895537629,2076.827075679353
10,-50.52179245677132,-106.06888368478558,test108,-69.09036,25.76849,-80.30039368478558,886.765091097092,2076.827075679353
11,-57.129505533613845,-112.66331886287682,test109,-71.93064,22.52439,-90.13892886287682,1089.622028530491,2076.827075679353
12,-33.1844534690702,-141.69532831965125,test11,-81.08646,56.39642,-85.29890831965125,2715.9164043732503,2076.827075679353
13,-40.495864084995766,-117.37382783096528,test110,-68.4966,37.57214,-79.80168783096528,1544.9477803492207,2076.827075679353
14,-40.974923068447126,-107.7801342446304,test111,-61.83598,32.03791,-75.7422242446304,1208.7652310754354,2076.827075679353
15,-30.50255445410924,-130.383103943717,test112,-75.49751,53.80507,-76.578033943717,2122.9498101972654,2076.827075679353
16,-29.64518157311693,-135.4803413232055,test113,-77.01171,56.61215,-78.8681913232055,2422.904688857314,2076.827075679353
17,-28.421858508958454,-88.00068747468627,test114,-55.97157,30.82456,-57.17612747468627,826.8079837534177,2076.827075679353
18,-31.11053148258571,-83.97870936245816,test115,-50.17138,20.25894,-63.719769362458166,1063.3623951061084,2076.827075679353
19,-22.178154923125344,-89.69240118032675,test116,-45.52111,34.40808,-55.28432118032676,1096.018244249461,2076.827075679353
20,-21.588853724857582,-84.4225859719202,test117,-44.06717,27.412,-57.0105859719202,1254.699115382596,2076.827075679353
21,-27.37087394416976,-132.79705717434328,test118,-72.66623,59.07908,-73.71797717434328,2148.0539778283605,2076.827075679353
22,-49.71947556412146,-150.57381657179943,test119,-83.83005,48.10029,-102.47352657179943,2782.9898977206885,2076.827075679353
23,-49.4104721245732,-137.90534868704012,test12,-79.86948,42.2007,-95.70464868704012,2143.150783596862,2076.827075679353
24,-43.37252783348365,-141.44463179497052,test120,-81.75338,46.97546,-94.46917179497052,2610.8670241269524,2076.827075679353
25,-42.954364551437024,-148.10240964790728,test121,-87.97401,53.65097,-94.45143964790728,2651.9487434914968,2076.827075679353
26,-23.430614159496372,-119.6093539129908,test122,-69.41139,53.13877,-66.4705839129908,1852.4389963817157,2076.827075679353
27,-26.684342889917463,-95.87456275850096,test123,-50.41407,35.20548,-60.669082758500956,1154.962543935288,2076.827075679353
28,-22.36285113012196,-86.1954390202998,test124,-46.58803,32.58944,-53.6059990202998,976.1342900875238,2076.827075679353
29,-42.99690102274443,-120.44881501133824,test125,-71.92316,42.6772,-77.77161501133824,1209.280732988502,2076.827075679353
30,-41.04900332200539,-159.5107104511246,test126,-96.78931,69.08084,-90.4298704511246,2438.4700384237262,2076.827075679353
31,-36.63072708844041,-120.86340075012632,test127,-67.46714,38.05561,-82.80779075012632,2132.321208415393,2076.827075679353
32,-54.63048548359788,-145.44621158597758,test128,-92.53962,44.70061,-100.74560158597758,2126.60393313596,2076.827075679353
33,-21.20527476764331,-91.30635121061069,test129,-49.18347,34.32337,-56.98298121061069,1280.0442783191495,2076.827075679353
34,-48.09856336434108,-157.7436818328656,test13,-90.86619,59.16981,-98.5738718328656,2547.7567649927037,2076.827075679353
35,-51.85925715050647,-156.77528834837213,test130,-95.8644,53.78844,-102.98684834837212,2614.030581696069,2076.827075679353
36,-42.850276589727606,-101.6033244003724,test131,-65.87651,26.5824,-75.0209244003724,1034.9505805565443,2076.827075679353
37,-51.303789486576775,-150.23761784415544,test132,-84.88251,50.84479,-99.39282784415543,2312.5556101566717,2076.827075679353
38,-36.83106510236048,-90.93040520165924,test133,-50.52754,24.59685,-66.33355520165924,870.396922059221,2076.827075679353
39,-68.91610414681969,-168.38773390496834,test134,-104.58233,47.3439,-121.04383390496835,2717.3002097385775,2076.827075679353
40,-43.80017274493714,-107.67582313872344,test135,-64.23375,27.88585,-79.78997313872344,1295.2657323845804,2076.827075679353
41,-54.44493530374185,-176.4872001958794,test136,-101.24001,64.13138,-112.35582019587942,3353.670588990407,2076.827075679353
42,-50.45525641061224,-133.87397588785322,test137,-79.65879,39.08887,-94.78510588785322,1965.135554674842,2076.827075679353
43,-45.19801099834408,-150.9155777814763,test138,-84.88671,51.866,-99.04957778147629,2899.991244998148,2076.827075679353
44,-52.99407958898914,-167.51572349274684,test139,-95.52745,53.52202,-113.99370349274685,3720.954116399889,2076.827075679353
45,-51.89070967087334,-151.73110626061174,test14,-90.20924,58.95839,-92.77271626061173,1671.338462803413,2076.827075679353
46,-40.25312989981951,-162.38616686433747,test140,-92.36297,69.22594,-93.16022686433747,2799.1609092129056,2076.827075679353
47,-58.15352712247324,-156.2753130910405,test141,-88.8385,43.89464,-112.38067309104048,2940.5833598962977,2076.827075679353
