,cluster_path,singles_paths,cluster_E,c_HF,c_MP2,c_CCSDT,singles_E,s_HF,s_MP2,s_CCSDT,int_HF,int_MP2,int_CCSDT
test301,[PosixPath('/home/boittier/pcbach/molpro_energies/test301/test301.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test301/test301_7.out')]","(-1527.54289586, -1521.32180462, -1521.2910034)",-1521.2910034,-1521.32180462,-1527.54289586,"[(-76.37066012, -76.0622252, -76.06064958), (-76.3707113, -76.06327055, -76.0616699), (-76.37137904, -76.06502271, -76.06338066), (-76.37234128, -76.06573407, -76.06411297), (-76.36839889, -76.05871083, -76.0571585), (-76.37227058, -76.06597532, -76.06435356), (-76.3705814, -76.06295354, -76.06134458), (-76.37012654, -76.0624669, -76.06085924), (-76.37034996, -76.06146594, -76.05990123), (-76.36981764, -76.06090607, -76.05933529), (-76.37114499, -76.06635262, -76.06467098), (-76.37101214, -76.06306234, -76.0614824), (-76.37099423, -76.0642298, -76.06260025), (-76.37038346, -76.06223415, -76.06063783), (-76.36991643, -76.06113473, -76.05957389), (-76.36989124, -76.06079625, -76.0592397), (-76.37182848, -76.06439733, -76.0627942), (-76.36756415, -76.05811211, -76.05654201), (-76.36980414, -76.06132156, -76.05975414), (-76.37010552, -76.0610605, -76.05949754)]",-1521.21955845,-1521.2514325199998,-1527.4092815299998,-44.8319204597787,-44.15870386643386,-83.84339291813289
test302,[PosixPath('/home/boittier/pcbach/molpro_energies/test302/test302.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test302/test302_6.out')]","(-1527.48577329, -1521.26008904, -1521.22951426)",-1521.22951426,-1521.26008904,-1527.48577329,"[(-76.37146399, -76.06496147, -76.06333942), (-76.37137301, -76.06375461, -76.06216741), (-76.37067337, -76.06352542, -76.06192887), (-76.37015258, -76.06129848, -76.05973185), (-76.36657561, -76.05575371, -76.054222), (-76.36924057, -76.06011249, -76.05854888), (-76.37114559, -76.06299517, -76.06140684), (-76.37006324, -76.06127842, -76.05970184), (-76.37007052, -76.06272835, -76.06112928), (-76.36502632, -76.05430737, -76.05275971), (-76.370546, -76.06372361, -76.06209783), (-76.37209617, -76.0657758, -76.0641551), (-76.37137816, -76.06342713, -76.06184518), (-76.36978674, -76.06149929, -76.05990755), (-76.37117064, -76.06310686, -76.06152281), (-76.36400636, -76.05220148, -76.05069106), (-76.3689271, -76.05958425, -76.05803848), (-76.36919634, -76.06149444, -76.05988027), (-76.37174481, -76.06406991, -76.06247438), (-76.37079054, -76.06297498, -76.06137737)]",-1521.1969261299998,-1521.2285732399998,-1527.39542766,-20.449149339546434,-19.77625904744973,-56.69215386189102
test303,[PosixPath('/home/boittier/pcbach/molpro_energies/test303/test303.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test303/test303_8.out')]","(-1527.49842602, -1521.26019534, -1521.22988272)",-1521.22988272,-1521.26019534,-1527.49842602,"[(-76.36652691, -76.05576807, -76.05424425), (-76.37225457, -76.06582755, -76.06420679), (-76.37165555, -76.06408777, -76.06248907), (-76.37166152, -76.064167, -76.06256811), (-76.36779738, -76.05796281, -76.05642952), (-76.36551368, -76.05438571, -76.05286854), (-76.36400923, -76.05221921, -76.0507023), (-76.36837426, -76.05872089, -76.05718286), (-76.37165927, -76.06410038, -76.06250878), (-76.37217167, -76.06527103, -76.06366159), (-76.37189943, -76.06433738, -76.06273838), (-76.37101075, -76.06267542, -76.06110202), (-76.37167393, -76.06403638, -76.06243865), (-76.37093959, -76.0627496, -76.06117289), (-76.37147792, -76.06370491, -76.06210915), (-76.37215845, -76.06576405, -76.06413438), (-76.36994061, -76.06073542, -76.05917836), (-76.36867016, -76.0590149, -76.057458), (-76.37004699, -76.0636707, -76.06202222), (-76.3683768, -76.05825969, -76.05672161)]",-1521.19593747,-1521.2274588699997,-1527.39781867,-21.30074621074243,-20.542233134643883,-63.13141394691888
test307,[PosixPath('/home/boittier/pcbach/molpro_energies/test307/test307.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test307/test307_14.out')]","(-1527.50192616, -1521.27428917, -1521.24369448)",-1521.24369448,-1521.27428917,-1527.50192616,"[(-76.36848913, -76.05966556, -76.05808567), (-76.37132971, -76.0635209, -76.0619249), (-76.36946153, -76.06033477, -76.05876485), (-76.3710489, -76.06452313, -76.06290201), (-76.37160484, -76.06381034, -76.06222255), (-76.37025831, -76.061754, -76.06017631), (-76.36924546, -76.06032281, -76.05874714), (-76.36944415, -76.06112552, -76.05954414), (-76.37266695, -76.06649237, -76.06486077), (-76.36912754, -76.06096756, -76.05936415), (-76.36812173, -76.05868941, -76.05713464), (-76.37115731, -76.06302563, -76.06143762), (-76.3681824, -76.0593095, -76.05773266), (-76.36815109, -76.05898477, -76.05741984), (-76.36960891, -76.06090977, -76.05932639), (-76.36669788, -76.0560318, -76.05449906), (-76.37186403, -76.0657315, -76.06409082), (-76.37078178, -76.06269523, -76.06110015), (-76.37214864, -76.06536573, -76.06375356), (-76.37107442, -76.06321379, -76.06161574)]",-1521.2047029699997,-1521.23647409,-1527.40046471,-24.467289499647464,-23.729076145223072,-63.66736425934245
test308,[PosixPath('/home/boittier/pcbach/molpro_energies/test308/test308.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test308/test308_8.out')]","(-1527.47660478, -1521.23790091, -1521.20758087)",-1521.20758087,-1521.23790091,-1527.47660478,"[(-76.36935277, -76.06045433, -76.05887545), (-76.36662644, -76.05663351, -76.0550738), (-76.36721066, -76.0574705, -76.05590482), (-76.37113794, -76.06325158, -76.06165508), (-76.36954612, -76.06047721, -76.05890831), (-76.36996471, -76.06253279, -76.06091317), (-76.36857458, -76.05885806, -76.05730192), (-76.3675892, -76.0570737, -76.05554224), (-76.37096967, -76.06343929, -76.06183889), (-76.37109406, -76.06308681, -76.06149267), (-76.36835593, -76.05856226, -76.05700845), (-76.37208094, -76.06482871, -76.06322868), (-76.36818171, -76.05812823, -76.05658629), (-76.36680717, -76.05677338, -76.05521465), (-76.37023103, -76.06224234, -76.06064153), (-76.37070892, -76.06218491, -76.06060754), (-76.36574253, -76.05435865, -76.05284847), (-76.36651375, -76.05549147, -76.05396902), (-76.3707114, -76.06277099, -76.06119212), (-76.3689189, -76.06020811, -76.05863089)]",-1521.16743399,-1521.1988268300004,-1527.3803184299998,-25.192287640538563,-24.51910242201192,-60.4199734841301
test309,[PosixPath('/home/boittier/pcbach/molpro_energies/test309/test309.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test309/test309_10.out')]","(-1527.45930824, -1521.2274228, -1521.19677547)",-1521.19677547,-1521.2274228,-1527.45930824,"[(-76.37134517, -76.06412313, -76.06250652), (-76.3726217, -76.06700629, -76.06536086), (-76.37029571, -76.06204525, -76.06045189), (-76.36971275, -76.06047421, -76.05891249), (-76.36878635, -76.05914053, -76.05758552), (-76.36989691, -76.06070252, -76.05914651), (-76.36693538, -76.05875758, -76.05714673), (-76.37010202, -76.0611576, -76.05959085), (-76.36960888, -76.06084092, -76.05926084), (-76.37127817, -76.06469207, -76.0630604), (-76.36151639, -76.04855016, -76.04706597), (-76.37168571, -76.06395138, -76.06236137), (-76.37105175, -76.06273428, -76.06115803), (-76.36953468, -76.0610407, -76.05945557), (-76.36696401, -76.05805461, -76.05647148), (-76.36265696, -76.05081102, -76.04928667), (-76.37031502, -76.06234364, -76.06076672), (-76.36970957, -76.06053409, -76.05897142), (-76.36887244, -76.06425486, -76.06257044), (-76.37063043, -76.06344905, -76.06183727)]",-1521.18296755,-1521.21466389,-1527.3835199999994,-8.664511223673946,-8.006254301731436,-47.55734796504636
test31,[PosixPath('/home/boittier/pcbach/molpro_energies/test31/test31.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test31/test31_10.out')]","(-1527.50040509, -1521.28104811, -1521.25029415)",-1521.25029415,-1521.28104811,-1527.50040509,"[(-76.37156487, -76.0642297, -76.06262029), (-76.37095512, -76.06346316, -76.06187197), (-76.37134688, -76.06447661, -76.06286826), (-76.37043014, -76.06203656, -76.06045324), (-76.36930133, -76.06015698, -76.05859669), (-76.37165303, -76.06381347, -76.06222575), (-76.37233934, -76.0653407, -76.06372937), (-76.37051448, -76.06235829, -76.0607633), (-76.36846475, -76.06117233, -76.05954884), (-76.36776174, -76.05823468, -76.05667587), (-76.37182538, -76.06532096, -76.06370666), (-76.37145207, -76.0641987, -76.06258784), (-76.36893372, -76.05985644, -76.05828102), (-76.37143568, -76.06456788, -76.06294155), (-76.3702978, -76.06260875, -76.06102437), (-76.37198083, -76.06562203, -76.06398761), (-76.36954778, -76.06110761, -76.05952019), (-76.37197513, -76.06479126, -76.06318124), (-76.36981057, -76.06162816, -76.06003851), (-76.37066375, -76.06231059, -76.0607311)]",-1521.22535367,-1521.2572948599998,-1527.41225439,-15.650226021403034,-14.905235634909644,-55.31482870204645
test310,[PosixPath('/home/boittier/pcbach/molpro_energies/test310/test310.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test310/test310_13.out')]","(-1527.52114831, -1521.30077945, -1521.27014556)",-1521.27014556,-1521.30077945,-1527.52114831,"[(-76.36841349, -76.05874177, -76.05718611), (-76.37061614, -76.06192495, -76.0603557), (-76.3717326, -76.06432423, -76.0627172), (-76.37129824, -76.06338421, -76.06180129), (-76.37166994, -76.06518499, -76.06355731), (-76.37129425, -76.06328584, -76.06169377), (-76.36952557, -76.06079374, -76.05921817), (-76.36939908, -76.06063513, -76.05907515), (-76.37146194, -76.06346069, -76.06187307), (-76.3715853, -76.0645457, -76.06292448), (-76.36700892, -76.05672935, -76.05518014), (-76.37064795, -76.06317465, -76.06156739), (-76.36939129, -76.06010388, -76.05854227), (-76.37135073, -76.06353911, -76.06195445), (-76.36872914, -76.05989296, -76.05831683), (-76.37080878, -76.06223469, -76.06066019), (-76.37244625, -76.06594793, -76.06432732), (-76.37174398, -76.06447428, -76.06287496), (-76.37131523, -76.06348575, -76.06188786), (-76.37083401, -76.0625564, -76.06098417)]",-1521.2166978300002,-1521.24842025,-1527.41127283,-33.538610918057515,-32.85555507757196,-68.94719332645751
test311,[PosixPath('/home/boittier/pcbach/molpro_energies/test311/test311.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_7.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test311/test311_9.out')]","(-1527.50127056, -1521.28917754, -1521.2583131)",-1521.2583131,-1521.28917754,-1527.50127056,"[(-76.37114048, -76.06402852, -76.06240696), (-76.37155589, -76.06687346, -76.06518989), (-76.37197726, -76.06508086, -76.06347447), (-76.36940317, -76.06088498, -76.05929401), (-76.3719787, -76.0647705, -76.06317089), (-76.37009461, -76.06112017, -76.05955808), (-76.36781784, -76.0583566, -76.05678545), (-76.3669795, -76.05695887, -76.05540612), (-76.37096135, -76.06334995, -76.06175717), (-76.36696648, -76.05793086, -76.0563437), (-76.37144024, -76.06606342, -76.06441253), (-76.36848755, -76.05858333, -76.05704667), (-76.37232671, -76.06586341, -76.06424243), (-76.36960349, -76.06157043, -76.05997869), (-76.36997939, -76.06166224, -76.06007067), (-76.37178723, -76.06407453, -76.06248384), (-76.36913296, -76.05989652, -76.05833373), (-76.36982486, -76.06109336, -76.05951272), (-76.36819356, -76.05964043, -76.05805168), (-76.37114425, -76.06298682, -76.06139971)]",-1521.20891941,-1521.24078926,-1527.40079552,-30.994688656062507,-30.36379086493653,-63.048389025115036
test314,[PosixPath('/home/boittier/pcbach/molpro_energies/test314/test314.out')],"[PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_0.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_12.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_2.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_11.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_15.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_14.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_4.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_18.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_13.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_16.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_10.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_17.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_19.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_5.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_3.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_1.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_6.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_8.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_9.out'), PosixPath('/home/boittier/pcbach/3body/f12/test314/test314_7.out')]","(-1527.51730285, -1521.29409069, -1521.26337654)",-1521.26337654,-1521.29409069,-1527.51730285,"[(-76.36700459, -76.0584364, -76.0568675), (-76.36973033, -76.06147105, -76.05987621), (-76.37143881, -76.06474249, -76.06313333), (-76.37204733, -76.06685491, -76.06520091), (-76.37224896, -76.06521876, -76.0636079), (-76.37097725, -76.06325384, -76.06165371), (-76.36896986, -76.05993622, -76.05836197), (-76.36569318, -76.0555726, -76.05403523), (-76.37145564, -76.06347954, -76.06189676), (-76.37228806, -76.06706419, -76.06540169), (-76.37075013, -76.06287624, -76.06127386), (-76.36630642, -76.05556669, -76.05402848), (-76.37169449, -76.06391011, -76.06232136), (-76.37098861, -76.06271754, -76.06113177), (-76.36857698, -76.05955333, -76.05798228), (-76.36775299, -76.05780141, -76.05625296), (-76.37123705, -76.06434876, -76.06272094), (-76.36929046, -76.06054359, -76.05895964), (-76.37128195, -76.06361725, -76.06201986), (-76.37033016, -76.06179123, -76.06022604)]",-1521.2069523999999,-1521.23875615,-1527.40006325,-35.40631712255645,-34.72258985368496,-73.56820071891008
